ID,Crop,Year,Lat,Lon,Plant density,Plantation date,Harvest date,Soil pH_H2O,Soil.pH_SMP7.5,SOM_%,Soil.MIII.Al.ICP_mg.kg,Soil.MIII.P.ICP_mg.kg,Texture,Clay %,Sand %,Soil Series,Manure,P.Source,P.rate_kgP2o5.ha_ctrl,P.rate_kgP2o5.ha_1,P.rate_kgP2o5.ha_2,P.rate_kgP2o5.ha_3,P.rate_kgP2o5.ha_4,Yield_t.ha_ctrl,Yield_t.ha_1,Yield_t.ha_2,Yield_t.ha_3,Yield_t.ha_4,Grain density g.L ctrl,Grain density g.L 1,Grain density g.L 2,Grain density g.L 3,Grain density g.L 4,Grain mositure % ctrl,Grain mositure % 1,Grain mositure % 2,Grain mositure % 3,Grain mositure % 4,MaxLeafLength_cm_ctrl,MaxLeafLength_cm_1,MaxLeafLength_cm_2,MaxLeafLength_cm_3,Growing season (d),pcpCum,pcpIrCum,SDI,AWDR,nbPcp1,nbPcp2,nbPcp5,nbPcp10,IhBR,IhKcBR,etpBRcum,etpKcBRcum,tMean,DDCm,DDCb,nb3po3j,nb4po7j,CTU,cClim,cClimKc,pcpCum_30,pcpIrCum_30,SDI_30,AWDR_30,nbPcp1_30,nbPcp2_30,nbPcp5_30,nbPcp10_30,IhBR_30,IhKcBR_30,etpBRcum_30,etpKcBRcum_30,tMean_30,DDCm_30,DDCb_30,nb3po3j_30,nb4po7j_30,CTU_30
506,Grain,2000,45.13,-74.35,77992,2000-05-04,NA,6.7,NA,5.2,693,538,Loamy sand,4.5,75.5,NA,Swine slurry,AAP,0,14,NA,NA,NA,9.1,9,NA,NA,NA,NA,NA,NA,NA,NA,27.7,27.1,NA,NA,NA,NA,NA,NA,NA,163,523.08,523.08,0.79460107,415.63993,77,60,34,15,-8.2823488,-8.2823488,570.31552,570.31552,16.23089,NA,1835.21,58,42,3065.6661,5,5,147.61,147.61,0.70283367,103.74528,15,13,9,5,40.39371,40.39371,105.14004,105.14004,13.962,NA,268.86,9,3,456.74713
507,Grain,2000,45.73,-72.62,81558,2000-05-16,NA,5.5,NA,4.3,1286.7,755.9,Loamy sand,5,80,NA,Bird manure,AAP,0,14,NA,NA,NA,7.1,8.5,NA,NA,NA,NA,NA,NA,NA,NA,23.6,23.6,NA,NA,NA,NA,NA,NA,NA,146,470.08,470.08,0.77447796,364.0666,66,52,31,15,-9.0425076,-9.0425076,516.81284,516.81284,16.159521,NA,1631.175,53,41,2733.2497,5,5,98.88,98.88,0.61871489,61.178529,11,10,6,4,-7.4997509000000004,-7.4997509000000004,106.89701,106.89701,12.993833,NA,239.815,8,6,414.54618
508,Grain,2001,45.38,-72.72,78889,2001-05-02,NA,6.5,NA,3.7,1157.3,512.6,Sand,4.4,86,NA,Swine slurry,AAP,0,10,NA,NA,NA,8.1,8.1,NA,NA,NA,659,657,NA,NA,NA,27.1,26.1,NA,NA,NA,NA,NA,NA,NA,169,508.5,508.5,0.74372192,378.18259,63,52,31,19,-17.431198,-17.431198,615.85004,615.85004,16.750828,NA,1989.31,52,45,3289.4833,4,4,71.32,71.32,0.60072098,42.84342,9,9,4,3,-38.831776,-38.831776,116.59649,116.59649,14.285333,NA,278.785,8,6,467.4648
509,Grain,2001,45.13,-74.35,75257,2001-04-28,NA,7.1,NA,2.9,687.1,144,Sandy loam,13,64,NA,Swine slurry,AAP,0,14,NA,NA,NA,9.6,8.9,NA,NA,NA,680,684,NA,NA,NA,23.8,23.7,NA,NA,NA,NA,NA,NA,NA,173,393.27,393.27,0.72628991,285.62803,63,48,26,11,-43.748994,-43.748994,699.13417,699.13417,17.732572,NA,2202.855,52,44,3556.2546,4,4,68.1,68.1,0.56262531,38.314784,9,7,6,3,-44.728923,-44.728923,123.21092,123.21092,14.573333,NA,287.32,8,4,490.83932
510,Grain,2001,45.4,-73.13,77609,2001-05-04,NA,6.8,NA,2.9,727,238.1,Loam,22.5,28.5,NA,Cattle manure,AAP,0,14,NA,NA,NA,10.7,10.5,NA,NA,NA,653,659,NA,NA,NA,25,24.2,NA,NA,NA,NA,NA,NA,NA,167,486.55,486.55,0.73339695,356.83429,59,48,29,19,-26.544364,-26.544364,662.37259,662.37259,17.781617,NA,2134.53,46,38,3475.6619,4,4,78.11,78.11,0.62381226,48.725976,10,10,4,3,-36.551394,-36.551394,123.10751,123.10751,14.634667,NA,289.04,6,6,483.90891
511,Grain,2001,45.73,-72.62,75860,2001-05-07,NA,6.7,NA,3,317.5,111.4,Sand,2.2,87.6,NA,Swine slurry,AAP,0,14,NA,NA,NA,9.4,9.3,NA,NA,NA,695,701,NA,NA,NA,21.3,20.8,NA,NA,NA,NA,NA,NA,NA,164,471.06,471.06,0.75801421,357.07017,62,50,39,16,-26.662137,-26.662137,642.31488,642.31488,17.118628,NA,1987.845,50,44,3267.5814,4,4,82.07,82.07,0.66780082,54.806413,12,10,7,4,-33.203053,-33.203053,122.8649,122.8649,13.905,NA,267.15,8,6,456.24227
512,Grain,2001,46.02,-73.43,73905,2001-05-04,NA,6,NA,2.9,958.1,124.5,Loam,28,26,NA,Bird manure,AAP,0,15,NA,NA,NA,7.7,7.8,NA,NA,NA,698,708,NA,NA,NA,23.4,24.3,NA,NA,NA,NA,NA,NA,NA,167,450.16,450.16,0.73624862,331.42968,58,53,29,15,-33.198323,-33.198323,673.87529,673.87529,17.261198,NA,2047.975,42,42,3315.4899,4,4,59.88,59.88,0.64498684,38.621812,10,9,6,1,-51.867754,-51.867754,124.40724,124.40724,14.1935,NA,275.805,7,6,465.0993
513,Grain,2001,46.27,-73.02,79606,2001-05-01,NA,6.5,NA,7.8,1090,165,Silty clay loam,32,20,NA,Bird manure,AAP,0,16,NA,NA,NA,8.3,8.3,NA,NA,NA,NA,NA,NA,NA,NA,20.7,20.7,NA,NA,NA,NA,NA,NA,NA,170,431.28,431.28,0.7420449,320.02912,58,51,29,16,-34.880648,-34.880648,662.2916,662.2916,17.284176,NA,2088.31,44,43,3398.9318,4,4,43.2,43.2,0.54951762,23.739161,8,6,4,1,-66.584582,-66.584582,129.28164,129.28164,14.918833,NA,297.565,7,5,494.82724
514,Grain,2001,45.95,-73.58,70826,2001-05-03,NA,6.5,NA,3,1005.5,397.3,Loam,17,51,NA,Swine slurry,AAP,0,16.5,NA,NA,NA,8.4,8.4,NA,NA,NA,NA,NA,NA,NA,NA,24.4,24.8,NA,NA,NA,NA,NA,NA,NA,168,455.72,455.72,0.72668962,331.167,58,49,31,14,-35.258208,-35.258208,703.9039,703.9039,17.687113,NA,2131.72,41,39,3406.5149,4,4,54.6,54.6,0.6113455,33.379464,9,8,5,2,-57.021639,-57.021639,127.04067,127.04067,14.808667,NA,294.26,6,6,488.82222
515,Grain,2001,45.8,-73,79225,2001-05-02,NA,6.5,NA,3.2,933.1,158,Clay loam,34,22,NA,Cattle manure,AAP,0,18,NA,NA,NA,11.7,11.7,NA,NA,NA,675,681,NA,NA,NA,23.1,22.3,NA,NA,NA,NA,NA,NA,NA,169,452.79,452.79,0.74981228,339.5075,63,48,33,17,-33.757827,-33.757827,683.53736,683.53736,17.821391,NA,2166.815,47,39,3506.006,4,4,64.43,64.43,0.62258072,40.112876,10,10,4,3,-49.454498,-49.454498,127.46931,127.46931,15.455833,NA,313.675,8,6,515.98392
