ID,Annee,LongSC,pcpCum,SDI,AWDR,nbPcp1,nbPcp2,nbPcp5,nbPcp10,IhBR,IhKcBR,etpBRcum,etpKcBRcum,tMean,DJCm,DJCb,nb3po3j,nb4po7j,UTMc,cClim,cClimKc,PcpCum_.30,SDI_.30,AWDR_.30,NbPcp1_.30,NbPcp2_.30,NbPcp5_.30,NbPcp10_.30,IhBR_.30,IhKcBR_.30,EtpBRcum_.30,EtpKcBRcum_.30,Tmean_.30,DJCm_.30,DJCb_.30,Nb3po3j_.30,Nb4po7j_.30,UTMc_.30
525,2001,160,400.45,0.73060157,292.5694,53,47,26,15,-38.704288,206.47856,653.30834,130.66167,17.664531,NA,2026.325,41,40,3290.2263,4,4,43.2,0.54951762,23.739161,8,6,4,1,-66.584582,-66.584582,129.28164,129.28164,14.918833,NA,297.565,7,5,494.82724
526,2001,158,423.97,0.71293116,302.26142,52,45,28,14,-38.765393,206.17304,692.36992,138.47398,18.083924,NA,2067.26,38,36,3292.1239,4,4,54.6,0.6113455,33.379464,9,8,5,2,-57.021639,-57.021639,127.04067,127.04067,14.808667,NA,294.26,6,6,488.82222
527,2001,162,428.9,0.7423168,318.37968,59,46,31,16,-36.278136,218.60932,673.08138,134.61628,17.942222,NA,2096.64,45,38,3384.6136,4,4,64.43,0.62258072,40.112876,10,10,4,3,-49.454498,-49.454498,127.46931,127.46931,15.455833,NA,313.675,8,6,515.98392
528,2002,169,456.89,0.69477807,317.43715,52,42,25,18,-28.745285,256.27357,641.20669,128.24134,16.60571,NA,1971.23,43,35,3195.6557,1,1,110.4,0.64885958,71.634098,12,8,7,6,47.558325,47.558325,74.817873,74.817873,8.3543333,NA,108.315,9,5,182.99114
529,2002,163,458.5,0.69778656,319.93514,51,43,28,17,-25.98522,270.0739,619.47087,123.89417,16.459969,NA,1882.375,42,34,3031.0435,5,5,100.32,0.61930267,62.128444,11,9,6,4,-6.473567,-6.473567,107.26379,107.26379,12.077667,NA,213.155,8,4,363.92306
530,1998,150,454.82,0.7625902,346.84128,58,47,35,16,-22.611871,286.94065,587.71287,117.54257,17.8957,NA,1934.6,48,42,3185.8549,4,4,51.05,0.53931781,27.532174,8,5,3,2,-63.785664,-63.785664,140.96627,140.96627,16.258167,NA,337.745,6,4,548.00062
531,1998,151,385.48,0.7294447,281.18634,51,41,29,13,-36.353724,218.23138,605.65994,121.13199,17.785364,NA,1931.055,44,39,3187.2305,4,4,45.53,0.52083829,23.713767,7,5,4,1,-65.868295,-65.868295,133.39504,133.39504,15.8755,NA,326.265,5,5,536.21592
532,1998,161,407.99,0.74074183,302.21526,57,45,31,13,-36.755628,216.22186,645.10088,129.02018,17.659379,NA,2038.625,48,40,3368.3919,4,4,34.7,0.63508221,22.037353,10,6,3,0,-74.714741,-74.714741,137.23411,137.23411,16.384167,NA,341.525,7,3,562.07889
533,1999,144,381.06,0.71393711,272.05288,50,42,23,11,-42.711228,186.44386,665.15652,133.0313,19.017535,NA,2018.525,40,35,3248.8421,4,4,54.3,0.49124464,26.674584,7,7,3,2,-60.130177,-60.130177,136.19323,136.19323,14.281667,NA,278.45,6,6,477.0808
534,2000,145,443.3,0.79376575,351.87636,68,56,30,12,-15.507597,322.46202,524.66255,104.93251,16.725517,NA,1701.295,49,43,2840.7615,5,5,93.48,0.6422809,60.040419,11,9,6,4,-13.423485,-13.423485,107.97385,107.97385,13.487333,NA,254.62,7,5,440.98939
